fid,tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,area,num_of_buildings_between_0_15,num_of_buildings_between_15_30,num_of_buildings_between_30_50,mahalle_nüfus
3608,Gönüllü Çay Bahçesi ve Yeşil Alan,İSTANBUL,KALPAZANKAYA YOLU,ADALAR,BURGAZADA,1452.9154,7,8,10,1501
3602,Egemen Bahçe Yeşil Alan,İSTANBUL,BARBAROS HAYRETTİN,ADALAR,BURGAZADA,1303.54,15,8,13,1501
3603,Sait Faik Abasıyanık Müzesi Önü Park Alanı,İSTANBUL,BARBAROS HAYRETTİN,ADALAR,BURGAZADA,430.3347,6,5,16,1501
3604,İnönü Parkı (Aynı Zamanda TRANSFER ALANIDIR.),İSTANBUL,ÇAM LİMANI YOLU,ADALAR,HEYBELİADA,2633.661,14,7,7,4025
3600,Bayraktepe Çocuk Parkı + Top Sahası,İSTANBUL,BUKET,ADALAR,HEYBELİADA,554.7386,1,1,2,4025
3606,Zeybek Sokak Yeşil Alan,İSTANBUL,ALP GÖRÜNGEN YOLU,ADALAR,HEYBELİADA,3211.2751,5,3,4,4025
3605,Bahriye Çeşmesi Parkı,İSTANBUL,ÇAM LİMANI YOLU,ADALAR,HEYBELİADA,1509.2563,24,10,19,4025
3601,Demirtaş Parkı,İSTANBUL,BUKET,ADALAR,HEYBELİADA,494.4526,8,1,17,4025
3607,Yarbaşı Parkı,İSTANBUL,HEYBETLİ,ADALAR,KINALIADA,485.88235,1,2,3,1835
5103,Manastır Altı Çocuk Parkı,İSTANBUL,FAZIL AHMET AYKAÇ,ADALAR,KINALIADA,369.62143,2,1,4,1835
3609,Hristos Manastırı Yanı Yeşil Alan,İSTANBUL,HEYBETLİ,ADALAR,KINALIADA,2011.0916,3,1,8,1835
5286,Serap Sokak Yeşil Alan,İSTANBUL,HEYBETLİ,ADALAR,KINALIADA,886.44635,4,11,9,1835
5287,Fazıl Ahmet Aykaç Sokak Yeşil Alan,İSTANBUL,FAZIL AHMET AYKAÇ,ADALAR,KINALIADA,406.14166,3,4,8,1835
5288,Nazar Şirinoğlu Parkı,İSTANBUL,FERİT TÜZÜN,ADALAR,KINALIADA,424.84262,8,8,15,1835
4205,Mehmet Bölük Parkı,İSTANBUL,ÇARKIFELEK,ADALAR,MADEN,498.34146,10,16,19,4195
4200,İzzet Orbay Çocuk Parkı,İSTANBUL,BÜYÜK TUR YOLU,ADALAR,MADEN,795.3615,3,4,8,4195
4203,Maden Halısaha,İSTANBUL,YILMAZ TÜRK,ADALAR,MADEN,843.7528,5,10,10,4195
4206,Eski Fayton Meydanı,İSTANBUL,GAZİ MİHAL,ADALAR,MADEN,1509.7227,29,34,49,4195
4198,Sedefadası Toplanma Alanı,İSTANBUL,BÜYÜK TUR YOLU,ADALAR,MADEN,30561.584,6,6,16,4195
4197,Birlik Meydanı,İSTANBUL,BÜYÜK TUR YOLU,ADALAR,MADEN,2327.5383,5,2,1,4195
4204,Aydoğdu Çocuk Parkı,İSTANBUL,ÇARKIFELEK,ADALAR,NİZAM,525.8951,13,18,26,3398
4202,Çankaya Meydanı,İSTANBUL,AŞIKLAR YOLU,ADALAR,NİZAM,1018.27234,8,9,13,3398
4201,Anadolu Kulübü Bahçesi,İSTANBUL,AYAYORGİ TEPESİ MEVKİİ,ADALAR,NİZAM,2751.4136,9,4,9,3398
4199,Tepeköy Çocuk Parkı,İSTANBUL,BÜYÜK TUR YOLU,ADALAR,NİZAM,843.4157,3,8,12,3398
4207,23 Nisan Caddesi Yeşil Alan,İSTANBUL,İSA ÇELEBİ,ADALAR,NİZAM,335.00388,3,8,27,3398
771,Hasan Polatkan Parkı,İSTANBUL,EGEMEN,ARNAVUTKÖY,ADNAN MENDERES,4312.6606,1,0,1,3237
1511,Şehit Er Muhammer Kavis Parkı,İSTANBUL,DİRLİK,ARNAVUTKÖY,ANADOLU,685.20026,1,0,0,31819
3252,Engelliler Parkı,İSTANBUL,NECİP FAZIL,ARNAVUTKÖY,ANADOLU,2103.6582,1,0,0,31819
